First Name,Middle Name,Last Name,Extension,No of Siblings,Monthly Family Income,Province,City/Municipality,LRN,Grade Level,Section,Emergency Contact Name,Emergency Contact Number
Althea,Dimaano,Macaraig,,2,18500,Cavite,Tanza,123456789021,Grade 7,St. Monica,Maricel Macaraig,09182345021
Nathaniel,Serrano,Lazaro,,1,22000,Cavite,Tanza,123456789022,Grade 7,St. Monica,Joel Lazaro,09182345022
Beatrice,Manrique,Salvador,,3,16000,Cavite,Naic,123456789023,Grade 7,Blessed Mary of the Passion,Annabelle Salvador,09182345023
Ezekiel,Romero,Del Rosario,,4,14000,Cavite,Rosario,123456789024,Grade 7,Blessed Mary of the Passion,Renato Del Rosario,09182345024
Clarisse,Tolentino,Abad,,2,27000,Cavite,General Trias,123456789025,Grade 8,St. Scholastica,Mylene Abad,09182345025
Francis,Miranda,Sarmiento,,0,36000,Cavite,Imus,123456789026,Grade 8,St. Scholastica,Edgar Sarmiento,09182345026
Bianca,Enriquez,Mallari,,1,24000,Cavite,Tanza,123456789027,Grade 8,St. Therese,Liza Mallari,09182345027
Cedric,Balagtas,Tuazon,Jr.,3,19500,Cavite,Kawit,123456789028,Grade 8,St. Therese,Ricardo Tuazon,09182345028
Alyssa,Magno,Cayanan,,2,31000,Cavite,Dasmariñas,123456789029,Grade 9,St. Benedict,Cristina Cayanan,09182345029
Harvey,Pineda,Galang,,5,13000,Cavite,Tanza,123456789030,Grade 9,St. Benedict,Armando Galang,09182345030
Trisha,Samson,Quinto,,1,26000,Cavite,Trece Martires,123456789031,Grade 9,St. Augustine,Janet Quinto,09182345031
Kyle,Macalintal,Espiritu,,2,21000,Cavite,General Trias,123456789032,Grade 9,St. Augustine,Rodolfo Espiritu,09182345032
Angelica,Montemayor,De Guzman,,4,17500,Cavite,Tanza,123456789033,Grade 10,St. Dominic,Susan De Guzman,09182345033
Jared,Carpio,Manansala,,3,23000,Cavite,Naic,123456789034,Grade 10,St. Dominic,Oscar Manansala,09182345034
Danica,Bernardo,Austria,,0,42000,Cavite,Imus,123456789035,Grade 10,St. Lorenzo,Teresa Austria,09182345035
Luis Miguel,Fajardo,Arcega,,2,29000,Cavite,Kawit,123456789036,Grade 10,St. Lorenzo,Marvin Arcega,09182345036
Patricia,Valencia,Estrella,,1,33000,Cavite,Tanza,123456789037,Grade 11,St. Albert,Nora Estrella,09182345037
Sean Patrick,Abella,Calderon,,3,25000,Cavite,Dasmariñas,123456789038,Grade 11,St. Albert,Alvin Calderon,09182345038
Maureen,Vicente,Lacson,,2,28000,Cavite,Trece Martires,123456789039,Grade 12,St. Thomas,Daisy Lacson,09182345039
Ivan,Sumulong,Beltran,,4,15000,Cavite,Rosario,123456789040,Grade 12,St. Thomas,Benjamin Beltran,09182345040
Rhea,San Diego,Ong,,1,39000,Cavite,Imus,123456789041,Grade 7,St. Monica,Evelyn Ong,09182345041
Marco,Legaspi,Peralta,,2,20000,Cavite,Tanza,123456789042,Grade 7,Blessed Mary of the Passion,Jose Peralta,09182345042
Celine,Tabora,Alcantara,,3,18000,Cavite,Naic,123456789043,Grade 8,St. Scholastica,Melanie Alcantara,09182345043
Jeremiah,Catapang,Mercado,,0,44000,Cavite,General Trias,123456789044,Grade 8,St. Therese,Lourdes Mercado,09182345044
Irish,Palma,Villafuerte,,5,12500,Cavite,Tanza,123456789045,Grade 9,St. Benedict,Rommel Villafuerte,09182345045
Lawrence,Medina,Arellano,,2,30500,Cavite,Kawit,123456789046,Grade 9,St. Augustine,Cecilia Arellano,09182345046
Faith,Cordova,Meneses,,1,27500,Cavite,Tanza,123456789047,Grade 10,St. Dominic,Maria Meneses,09182345047
Ronald,De Vera,Caballero,III,3,35000,Cavite,Dasmariñas,123456789048,Grade 10,St. Lorenzo,Antonio Caballero,09182345048
Shaira,Bonifacio,Lumabas,,2,23500,Cavite,Trece Martires,123456789049,Grade 11,St. Albert,Rowena Lumabas,09182345049
Kenneth,Agustin,Maceda,,4,16500,Cavite,Rosario,123456789050,Grade 12,St. Thomas,Florante Maceda,09182345050
